Space,Row,One,datetime_to_nearest_hour,id,norm_count,Ref,Cluster
1,8,1,2015-01-01 23:00:00,1,0.0,71,0
1,8,1,2015-02-01 00:00:00,6,0.35714285714285715,71,0
1,8,1,2015-02-01 01:00:00,1,0.0,71,0
1,9,1,2014-12-31 05:00:00,1,0.0,81,0
1,9,1,2014-12-31 06:00:00,1,0.0,81,0
1,9,1,2014-12-31 07:00:00,2,0.027777777777777776,81,0
1,9,1,2014-12-31 08:00:00,10,0.25,81,0
1,9,1,2014-12-31 09:00:00,2,0.027777777777777776,81,0
1,9,1,2014-12-31 10:00:00,13,0.3333333333333333,81,0
1,9,1,2014-12-31 11:00:00,14,0.3611111111111111,81,0
1,9,1,2014-12-31 12:00:00,23,0.6111111111111112,81,0
1,9,1,2014-12-31 13:00:00,18,0.4722222222222222,81,0
1,9,1,2014-12-31 14:00:00,12,0.3055555555555556,81,0
1,9,1,2014-12-31 15:00:00,12,0.3055555555555556,81,0
1,9,1,2014-12-31 16:00:00,22,0.5833333333333334,81,0
1,9,1,2014-12-31 17:00:00,17,0.4444444444444444,81,0
1,9,1,2014-12-31 18:00:00,19,0.5,81,0
1,9,1,2014-12-31 19:00:00,6,0.1388888888888889,81,0
1,9,1,2014-12-31 20:00:00,4,0.08333333333333333,81,0
1,9,1,2014-12-31 21:00:00,9,0.2222222222222222,81,0
1,9,1,2014-12-31 22:00:00,9,0.2222222222222222,81,0
1,9,1,2014-12-31 23:00:00,11,0.2777777777777778,81,0
1,9,1,2015-01-01 00:00:00,37,1.0,81,0
1,9,1,2015-01-01 01:00:00,10,0.25,81,0
1,9,1,2015-01-01 02:00:00,3,0.05555555555555555,81,0
1,9,1,2015-01-01 03:00:00,4,0.08333333333333333,81,0
1,9,1,2015-01-01 06:00:00,24,0.6388888888888888,81,0
1,9,1,2015-01-01 07:00:00,5,0.1111111111111111,81,0
1,9,1,2015-01-01 08:00:00,5,0.1111111111111111,81,0
1,9,1,2015-01-01 09:00:00,2,0.027777777777777776,81,0
1,9,1,2015-01-01 10:00:00,8,0.19444444444444445,81,0
1,9,1,2015-01-01 11:00:00,17,0.4444444444444444,81,0
1,9,1,2015-01-01 12:00:00,17,0.4444444444444444,81,0
1,9,1,2015-01-01 13:00:00,15,0.3888888888888889,81,0
1,9,1,2015-01-01 14:00:00,12,0.3055555555555556,81,0
1,9,1,2015-01-01 15:00:00,13,0.3333333333333333,81,0
1,9,1,2015-01-01 16:00:00,18,0.4722222222222222,81,0
1,9,1,2015-01-01 17:00:00,12,0.3055555555555556,81,0
1,9,1,2015-01-01 18:00:00,26,0.6944444444444444,81,0
1,9,1,2015-01-01 19:00:00,27,0.7222222222222222,81,0
1,9,1,2015-01-01 20:00:00,29,0.7777777777777778,81,0
1,9,1,2015-01-01 21:00:00,11,0.2777777777777778,81,0
1,9,1,2015-01-01 22:00:00,19,0.5,81,0
1,9,1,2015-01-01 23:00:00,16,0.4166666666666667,81,0
1,9,1,2015-02-01 00:00:00,13,0.3333333333333333,81,0
1,9,1,2015-02-01 01:00:00,8,0.19444444444444445,81,0
1,9,1,2015-02-01 02:00:00,6,0.1388888888888889,81,0
1,9,1,2015-02-01 03:00:00,3,0.05555555555555555,81,0
1,10,1,2014-12-31 09:00:00,1,0.0,91,4
1,10,1,2014-12-31 10:00:00,3,0.4,91,4
1,10,1,2014-12-31 12:00:00,4,0.6,91,4
1,10,1,2014-12-31 13:00:00,1,0.0,91,4
1,10,1,2014-12-31 15:00:00,3,0.4,91,4
1,10,1,2014-12-31 16:00:00,5,0.8,91,4
1,10,1,2014-12-31 17:00:00,2,0.2,91,4
1,10,1,2014-12-31 18:00:00,1,0.0,91,4
1,10,1,2014-12-31 19:00:00,3,0.4,91,4
1,10,1,2015-01-01 00:00:00,3,0.4,91,4
1,10,1,2015-01-01 01:00:00,1,0.0,91,4
1,10,1,2015-01-01 02:00:00,1,0.0,91,4
1,10,1,2015-01-01 10:00:00,1,0.0,91,4
1,10,1,2015-01-01 12:00:00,6,1.0,91,4
1,10,1,2015-01-01 14:00:00,2,0.2,91,4
1,10,1,2015-01-01 16:00:00,2,0.2,91,4
1,10,1,2015-01-01 17:00:00,2,0.2,91,4
1,10,1,2015-01-01 18:00:00,4,0.6,91,4
1,10,1,2015-01-01 20:00:00,4,0.6,91,4
1,10,1,2015-01-01 21:00:00,2,0.2,91,4
1,10,1,2015-01-01 22:00:00,4,0.6,91,4
1,10,1,2015-01-01 23:00:00,3,0.4,91,4
1,10,1,2015-02-01 01:00:00,1,0.0,91,4
1,10,1,2015-02-01 02:00:00,2,0.2,91,4
2,2,1,2014-12-31 04:00:00,2,0.012658227848101266,12,6
2,2,1,2014-12-31 05:00:00,2,0.012658227848101266,12,6
2,2,1,2014-12-31 06:00:00,4,0.0379746835443038,12,6
2,2,1,2014-12-31 07:00:00,2,0.012658227848101266,12,6
2,2,1,2014-12-31 08:00:00,14,0.16455696202531644,12,6
2,2,1,2014-12-31 09:00:00,16,0.189873417721519,12,6
2,2,1,2014-12-31 10:00:00,22,0.26582278481012656,12,6
2,2,1,2014-12-31 11:00:00,30,0.3670886075949367,12,6
2,2,1,2014-12-31 12:00:00,36,0.4430379746835443,12,6
2,2,1,2014-12-31 13:00:00,30,0.3670886075949367,12,6
2,2,1,2014-12-31 14:00:00,25,0.3037974683544304,12,6
2,2,1,2014-12-31 15:00:00,31,0.379746835443038,12,6
2,2,1,2014-12-31 16:00:00,31,0.379746835443038,12,6
2,2,1,2014-12-31 17:00:00,26,0.31645569620253167,12,6
2,2,1,2014-12-31 18:00:00,20,0.24050632911392406,12,6
2,2,1,2014-12-31 19:00:00,17,0.20253164556962025,12,6
2,2,1,2014-12-31 20:00:00,20,0.24050632911392406,12,6
2,2,1,2014-12-31 21:00:00,20,0.24050632911392406,12,6
2,2,1,2014-12-31 22:00:00,15,0.17721518987341772,12,6
2,2,1,2014-12-31 23:00:00,21,0.25316455696202533,12,6
2,2,1,2015-01-01 00:00:00,26,0.31645569620253167,12,6
2,2,1,2015-01-01 01:00:00,26,0.31645569620253167,12,6
2,2,1,2015-01-01 02:00:00,20,0.24050632911392406,12,6
2,2,1,2015-01-01 03:00:00,10,0.11392405063291139,12,6
2,2,1,2015-01-01 04:00:00,7,0.0759493670886076,12,6
2,2,1,2015-01-01 05:00:00,1,0.0,12,6
2,2,1,2015-01-01 06:00:00,9,0.10126582278481013,12,6
2,2,1,2015-01-01 07:00:00,8,0.08860759493670886,12,6
2,2,1,2015-01-01 08:00:00,7,0.0759493670886076,12,6
2,2,1,2015-01-01 09:00:00,10,0.11392405063291139,12,6
2,2,1,2015-01-01 10:00:00,8,0.08860759493670886,12,6
2,2,1,2015-01-01 11:00:00,24,0.2911392405063291,12,6
2,2,1,2015-01-01 12:00:00,31,0.379746835443038,12,6
2,2,1,2015-01-01 13:00:00,25,0.3037974683544304,12,6
2,2,1,2015-01-01 14:00:00,56,0.6962025316455697,12,6
2,2,1,2015-01-01 15:00:00,38,0.46835443037974683,12,6
2,2,1,2015-01-01 16:00:00,41,0.5063291139240507,12,6
2,2,1,2015-01-01 17:00:00,42,0.5189873417721519,12,6
2,2,1,2015-01-01 18:00:00,80,1.0,12,6
2,2,1,2015-01-01 19:00:00,77,0.9620253164556962,12,6
2,2,1,2015-01-01 20:00:00,44,0.5443037974683544,12,6
2,2,1,2015-01-01 21:00:00,65,0.810126582278481,12,6
2,2,1,2015-01-01 22:00:00,46,0.569620253164557,12,6
2,2,1,2015-01-01 23:00:00,33,0.4050632911392405,12,6
2,2,1,2015-02-01 00:00:00,19,0.22784810126582278,12,6
2,2,1,2015-02-01 01:00:00,5,0.05063291139240506,12,6
